iteration,U,p,k,omega
1.0,0.999999921318,1.0,0.999999999396,0.0305422833373
2.0,0.301967164668,0.0112850685722,0.32699270551,0.0033411711148
3.0,0.213677806544,0.012162155109,0.14581952755,0.004641690838
4.0,0.140554305389,0.0147564562027,0.0732127748642,0.00643226623863
5.0,0.0794762298077,0.0203098107605,0.040764515662,0.00742178850296
6.0,0.0265606066412,0.0438062360506,0.0272936856672,0.00577818525039
7.0,0.0215800156586,0.0372789744309,0.0216596304648,0.00570514322776
8.0,0.0570078974119,0.0162046455127,0.018215157129,0.00521769540272
9.0,0.0736955642743,0.0165098350628,0.0173219035964,0.00436711165465
10.0,0.064403213063,0.0197791617366,0.016364958267,0.00327429261306
11.0,0.0343699320165,0.0311430622299,0.0149002867241,0.00281780141261
12.0,0.00581444826839,0.231884022753,0.01385419452,0.00269475408338
13.0,0.0216367000164,0.0325790979521,0.0128797085699,0.00254359781475
14.0,0.0284033137223,0.0217726815557,0.0118790094294,0.0025030026823
15.0,0.0249077613692,0.0238783256625,0.01110488966,0.00245302051079
16.0,0.0159668642157,0.0336761599956,0.0103855748198,0.00238024920552
17.0,0.00582574784024,0.101633460122,0.00988864113072,0.00232295163834
18.0,0.00477215581887,0.048212920727,0.00950918770791,0.00225916720994
19.0,0.00969708650163,0.0261328482674,0.00901921786087,0.00217680730277
20.0,0.010911318952,0.0230049528167,0.00841063633977,0.00199671022581
21.0,0.0087540574079,0.0254143183415,0.00779851737256,0.00188251283084
22.0,0.00497791911864,0.0347185109966,0.00722486021481,0.00181450415593
23.0,0.0023257006187,0.0814125253569,0.00670538859669,0.00178036710447
24.0,0.00393872147525,0.0904581433822,0.00627403956862,0.00174438475424
25.0,0.00478825829026,0.0527810153487,0.00591800817439,0.00168945155632
26.0,0.00438123470217,0.056631449631,0.00560486517974,0.00162238277269
27.0,0.00316916852878,0.110331378128,0.00533467562024,0.00155481424445
28.0,0.00184255209451,0.0603625460675,0.00509204647362,0.00149266995636
29.0,0.00166724540563,0.0306501657014,0.00487537945634,0.00143506224425
30.0,0.00222591089932,0.0233927239056,0.00468486117742,0.00139227841386
31.0,0.00235127729875,0.0211512648142,0.00451607948455,0.00135416572348
32.0,0.0020828064359,0.0214596846888,0.00435491016893,0.00131338191622
33.0,0.00169928035045,0.0231360372295,0.00419804413096,0.00127518040892
34.0,0.00159942356832,0.0257692581652,0.00405009667697,0.00123929102113
35.0,0.00175631606642,0.0283583109392,0.00391655123869,0.00120443527058
36.0,0.00182491922621,0.0287677226874,0.00379413554677,0.00116453028116
37.0,0.00175609365372,0.0262063075107,0.00367484234857,0.00112535512345
38.0,0.00160913640766,0.0217296281105,0.00355955916969,0.00109028912772
39.0,0.00147785452369,0.0179034731005,0.00345069393667,0.00105627678581
40.0,0.00142911900466,0.0154745827943,0.00334925360519,0.00102604337951
41.0,0.00144469421673,0.0141751134844,0.00325429257727,0.000997412025109
42.0,0.00145542787269,0.013464531297,0.00316072977922,0.000970431807227
43.0,0.00145371335571,0.0130009230911,0.00307303325556,0.000944711472467
44.0,0.00145775427986,0.0125573524758,0.00299036374503,0.000919806106681
45.0,0.00146997427745,0.0120707832805,0.00291398600574,0.000898005251913
46.0,0.00147858304124,0.0114825339091,0.00284140547428,0.000875901929145
47.0,0.00147598570553,0.0107960389605,0.00277040253043,0.000854586361851
48.0,0.00146273164651,0.0100276578299,0.00270354064786,0.000834018450079
49.0,0.00144507551387,0.00925744678025,0.00264023898407,0.000813843853949
50.0,0.00143010212359,0.00858791747969,0.00258118302894,0.00079496471319
51.0,0.00142049537729,0.00807994030877,0.00252525012497,0.000777416458106
52.0,0.00141582985097,0.00771738683059,0.00247211083124,0.00076274106964
53.0,0.00141483504585,0.00738925950707,0.00242087387991,0.000747949458296
54.0,0.00141529107984,0.00711105316609,0.00237270556022,0.00073310883947
55.0,0.00141539717966,0.00685781886334,0.00232670477343,0.000717765468367
56.0,0.001414138648,0.00659247407035,0.00228252480451,0.000703018836697
57.0,0.00141113701192,0.00630570592236,0.00224044638153,0.000689496188442
58.0,0.0014064503009,0.00600909393552,0.00220000089405,0.000676502330632
59.0,0.00140078007051,0.00571807875546,0.00216140527873,0.000664591091734
60.0,0.00139504322037,0.00545531298363,0.00212507987511,0.000653482175751
